"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41624536,134692531,1,19-MAY-20,1,"N",16,5,34,"M",1,3,"R","","",34,0
2020,41622495,134693655,1,03-JUL-20,1,"N",48,5,25,"M",1,2,"R","","",25,0
2020,41622443,134689817,1,25-JUN-20,3,"C",27,5,63,"M",2,2,"R","","",63,0
2020,41622511,134690040,1,29-NOV-20,3,"N",51,5,25,"M",2,2,"R","","",25,0
2020,41624957,134693842,1,18-JUL-20,1,"N",49,5,37,"M",1,1,"R","","",37,0
2020,41622559,134693868,1,07-SEP-20,1,"N",27,5,42,"M",1,2,"R","","",42,0
2020,41625025,134694067,1,03-OCT-20,1,"N",10,5,20,"M",1,2,"R","","",20,0
2020,41622630,134690464,1,28-OCT-20,1,"N",52,5,19,"M",1,2,"R","","",19,0
2020,41623196,134698745,2,24-JAN-21,2,"N",23,5,53,"F",1,2,"R","","",53,0
2020,41623197,134698745,3,24-JAN-21,2,"N",23,5,20,"F",1,2,"R","","",20,0
2020,41625565,134698745,1,24-JAN-21,2,"N",23,5,36,"F",1,2,"R","","",36,0
2020,41625586,134698887,1,19-DEC-20,1,"N",21,5,18,"M",2,2,"R","","",18,0
2020,41621453,134684839,1,18-NOV-20,3,"C",51,5,53,"F",1,2,"","","",53,0
2020,41608816,134684839,2,18-NOV-20,3,"C",51,5,43,"M",1,2,"","","",43,0
2020,41621545,134685111,1,21-JAN-20,3,"C",39,5,28,"M",2,2,"","","",28,0
2020,41608906,134686480,1,19-NOV-20,2,"N",23,5,46,"F",1,,"U","","",46,0
2020,41608999,134685498,1,01-JUN-20,3,"C",23,5,35,"F",1,2,"","","",35,0
2020,41609129,134686013,1,15-JUL-20,1,"N",48,5,35,"F",1,2,"","","",35,0
2020,41608796,134684767,1,01-MAY-20,3,"C",51,5,17,"M",2,2,"","R","",17,0
2020,41609237,134687805,1,19-JUN-20,3,"C",44,5,48,"M",1,2,"","","",48,0
2020,41624522,134692464,1,05-DEC-20,3,"N",16,5,26,"F",1,2,"U","","",26,0
2020,41622416,134689747,1,26-MAY-20,1,"N",34,5,31,"M",1,2,"R","","",31,0
2020,41624926,134693749,1,12-JUL-20,1,"N",39,5,22,"M",1,2,"N","","",22,0
2020,41622542,134693776,1,17-AUG-20,1,"N",16,5,50,"M",1,2,"R","","",50,0
2020,41622760,134694545,1,15-AUG-20,1,"N",51,5,19,"M",1,1,"R","","",19,0
2020,41625394,134695786,1,17-OCT-20,1,"N",49,5,20,"M",2,2,"R","","",20,0
2020,41625444,134701158,2,14-JAN-21,3,"N",16,5,20,"F",1,,"R","","",20,0
2020,41623042,134701158,1,22-AUG-20,3,"N",16,5,20,"M",1,,"R","","",20,0
2020,41623264,134702883,1,31-DEC-20,3,"N",51,5,57,"M",1,2,"R","","",57,0
2020,41623413,134700018,1,23-APR-20,3,"C",29,5,30,"M",1,2,"U","","",30,0
2020,41624863,134693493,1,18-JUN-20,1,"N",16,5,24,"F",1,,"","","",24,0
2020,41622451,134693493,2,18-JUN-20,2,"N",48,5,41,"M",1,2,"R","","",41,0
2020,41622461,134693510,1,26-JUN-20,1,"N",48,5,30,"M",1,2,"R","","",30,0
2020,41624890,134689940,1,06-JUL-20,1,"N",16,5,45,"M",2,2,"N","","",45,0
2020,41622482,134693604,1,02-NOV-20,3,"N",16,5,48,"M",1,2,"R","","",48,0
2020,41622533,134690105,1,31-JUL-20,1,"N",44,5,34,"M",1,2,"","","",34,0
2020,41624947,134693809,1,27-JAN-21,3,"N",2,5,53,"M",1,2,"N","","",53,0
2020,41624948,134693809,2,27-JAN-21,3,"N",2,5,36,"F",1,2,"N","","",36,0
2020,41625852,134700201,1,04-DEC-20,3,"N",16,5,44,"M",1,,"R","","",44,0
2020,41623504,134700300,1,05-JAN-20,1,"N",23,5,21,"F",1,2,"R","","",21,0
2020,41625897,134703877,1,17-JUL-20,3,"N",23,5,64,"M",1,2,"U","","",64,0
2020,41625920,134700414,1,20-JUN-20,1,"N",27,5,59,"M",2,2,"R","","",59,0
2020,41625924,134703967,1,05-JUL-20,1,"N",51,5,57,"M",1,2,"R","","",57,0
2020,41625930,134703986,1,06-JUL-20,1,"N",48,5,20,"M",2,2,"R","","",20,0
2020,41623572,134703991,1,06-JUL-20,1,"N",51,5,33,"M",1,2,"R","","",33,0
2020,41625943,134704103,1,10-JUL-20,1,"N",27,5,43,"M",2,2,"R","","",43,0
2020,41625950,134704167,2,13-JUL-20,1,"N",7,5,36,"M",1,2,"R","","",36,0
2020,41625949,134704167,1,13-JUL-20,1,"N",7,5,35,"F",1,2,"R","","",35,0
2020,41623597,134704181,1,13-JUL-20,1,"N",39,5,18,"M",2,2,"R","","",18,0
2020,41623598,134704181,2,13-JUL-20,1,"N",28,5,17,"M",2,2,"R","R","",17,0
2020,41625954,134704192,1,14-JUL-20,1,"N",37,5,21,"F",4,2,"R","","",21,0
